path,filename,class_name,label,total_frames,fps,width,height,resolution,duration_sec,file_size_mb,readable,md5
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_6.mp4,videyyyyyyyyyss_6.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.56,True,21d3bf5d096465ebdd44e88dd2fc03d0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_70.mp4,shop_lifter_70.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.84,True,8ea58e72d37d13994d9b270d00fc30aa
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_42.mp4,videppppsss_42.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.63,True,a8a18f52f73158c8092761ea3a6563f8
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_26.mp4,videyyyyyyyyyss_26.mp4,shop lifters,1,200,25.0,704,576,704x576,8.0,0.36,True,b2ca539198248b0c977500e831668caa
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_127.mp4,shop_lifter_127.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,3.2,True,643cc6c3f6e0e87a725afed0b3675d36
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_7.mp4,videyyyyyyyyyss_7.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.55,True,011c66ef0164b2666aa97ffd4132fc6f
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_40.mp4,videppppsss_40.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.44,True,294c89d3261462a6547b97a605b17a18
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_90.mp4,videmmmmmmsss_90.mp4,shop lifters,1,297,24.75,704,576,704x576,12.0,0.57,True,114094dca6ba647626e139d0118805f0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_9.mp4,videyyyyyyyyyss_9.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.57,True,05c1219ee7bf0bcf5245230646f0d1d1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_3.mp4,shop_lifter_3.mp4,shop lifters,1,198,24.75,704,576,704x576,8.0,1.62,True,c119c1669fdeaa1b35261ce54ee1fc6a
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_50.mp4,shop_lifter_50.mp4,shop lifters,1,446,24.75,704,576,704x576,18.02,3.91,True,e02def0897f2e16f34c7dc2334c12af1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_8.mp4,videyyyyyynnnnnnzzzzzyyyss_8.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.55,True,32607649d147627330bd2ba3a0c108f1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_13.mp4,videyyyyyyzzzzzyyyss_13.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.56,True,71302fac26b6bdf2194f93b679e96f31
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_53.mp4,videyyyyyyyyyss_53.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.48,True,f539d3e5f5e50b626977e7d1329d1ec0
